cidade,dia,tmedia,tmax,tmin,chuva
Campina Grande,1993-01-02T00:00:00Z,26.133333333333333,30.4,20.7,0
Campina Grande,1993-01-03T00:00:00Z,25.666666666666664,31.5,19.3,0
Campina Grande,1993-01-04T00:00:00Z,25.166666666666668,29.7,20.4,0
Campina Grande,1993-01-05T00:00:00Z,27.166666666666668,32.4,21,0
Campina Grande,1993-01-06T00:00:00Z,27.4,32.4,21,0
Campina Grande,1993-01-07T00:00:00Z,25.933333333333334,30.2,20.9,0
Campina Grande,1993-01-08T00:00:00Z,25.900000000000002,30.5,19.9,0
Campina Grande,1993-01-09T00:00:00Z,25.6,30.5,20.8,0
Campina Grande,1993-01-10T00:00:00Z,25.766666666666666,32.2,19.7,0
Campina Grande,1993-02-02T00:00:00Z,25.333333333333336,29.7,20.8,0.4
Campina Grande,1993-02-03T00:00:00Z,25.7,30.8,19.9,0
Campina Grande,1993-02-04T00:00:00Z,25.733333333333334,31.2,20.1,0
Campina Grande,1993-02-05T00:00:00Z,25.966666666666665,32,20.3,0
Campina Grande,1993-02-06T00:00:00Z,25.966666666666665,31.7,19.9,0
Campina Grande,1993-02-07T00:00:00Z,26.1,31.4,20,0
Campina Grande,1993-02-08T00:00:00Z,26.333333333333332,31.7,21,0
Campina Grande,1993-02-09T00:00:00Z,25.966666666666665,30.7,20.5,0.3
Campina Grande,1993-02-10T00:00:00Z,26.066666666666666,30.8,20.6,0
Campina Grande,1993-02-11T00:00:00Z,26.433333333333334,31.9,19.6,0
Campina Grande,1993-02-12T00:00:00Z,26.666666666666664,32.3,20.8,0
Campina Grande,1993-02-13T00:00:00Z,26.633333333333333,32.7,20.3,0
Campina Grande,1993-02-14T00:00:00Z,26.233333333333334,31.8,21,0
Campina Grande,1993-02-15T00:00:00Z,26.633333333333333,32.7,21,0
Campina Grande,1993-02-16T00:00:00Z,26.566666666666666,32.3,20.6,0
Campina Grande,1993-02-17T00:00:00Z,26.266666666666666,31.6,20,0
Campina Grande,1993-02-18T00:00:00Z,25.9,32.4,20,0
Campina Grande,1993-02-19T00:00:00Z,26.133333333333333,30.9,20.2,0
Campina Grande,1993-02-20T00:00:00Z,26.266666666666666,31.7,21.4,0
Campina Grande,1993-02-21T00:00:00Z,26.6,32.2,21,0
Campina Grande,1993-02-22T00:00:00Z,26.633333333333336,32.2,21,0
Campina Grande,1993-02-23T00:00:00Z,26.733333333333334,32.2,20.4,0
Campina Grande,1993-02-24T00:00:00Z,26.433333333333334,32.2,21.1,0
Campina Grande,1993-02-25T00:00:00Z,25.9,30.7,20.6,4.9
Campina Grande,1993-02-26T00:00:00Z,26.466666666666665,31.6,21.3,0
Campina Grande,1993-02-27T00:00:00Z,26.533333333333335,32.3,21,0
Campina Grande,1993-02-28T00:00:00Z,26.566666666666666,32.3,21.2,0
Campina Grande,1993-11-02T00:00:00Z,26,32.1,19,0
Campina Grande,1993-11-03T00:00:00Z,25.633333333333333,31.4,19.4,0
Campina Grande,1993-11-04T00:00:00Z,26.066666666666666,31.4,20.3,0
Campina Grande,1993-11-05T00:00:00Z,25.3,30.8,20.2,0
Campina Grande,1993-11-06T00:00:00Z,25.833333333333332,31.8,20.6,0
Campina Grande,1993-11-07T00:00:00Z,25.633333333333333,30.7,19.9,1
Campina Grande,1993-11-08T00:00:00Z,26.066666666666666,31.2,21.2,0.1
Campina Grande,1993-11-09T00:00:00Z,26.1,29.7,21.5,0.2
Campina Grande,1993-11-10T00:00:00Z,24.2,28.5,19,2.9
Campina Grande,1993-11-11T00:00:00Z,24.633333333333333,29.7,19.5,1.9
Campina Grande,1993-11-12T00:00:00Z,25.466666666666665,30.8,20,0
Campina Grande,1993-11-13T00:00:00Z,24.5,29.7,20.3,0
Campina Grande,1993-11-14T00:00:00Z,24.933333333333334,29.6,19.3,0
Campina Grande,1993-11-15T00:00:00Z,23.866666666666667,29.8,19.7,0.3
Campina Grande,1993-11-16T00:00:00Z,26.033333333333335,31.4,19.9,0.1
Campina Grande,1993-11-17T00:00:00Z,26.033333333333335,32.1,21,0
Campina Grande,1993-11-18T00:00:00Z,26.233333333333334,31,20.7,0
Campina Grande,1993-11-19T00:00:00Z,26.366666666666667,31.3,21.1,0
Campina Grande,1993-11-20T00:00:00Z,26.6,32.2,21,0
Campina Grande,1993-11-21T00:00:00Z,26.3,30.8,21.3,0
Campina Grande,1993-11-22T00:00:00Z,25.900000000000002,31.7,21.3,0
Campina Grande,1993-11-23T00:00:00Z,24.766666666666666,29.4,20.3,1
Campina Grande,1993-11-24T00:00:00Z,25,31.2,20.3,0.2
Campina Grande,1993-11-25T00:00:00Z,25.46666666666667,30.9,20.4,0
Campina Grande,1993-11-26T00:00:00Z,25.6,30.3,19.9,0
Campina Grande,1993-11-27T00:00:00Z,26.1,30.8,21.6,0
Campina Grande,1993-11-28T00:00:00Z,27.166666666666668,32.7,21,0
Campina Grande,1993-11-29T00:00:00Z,26.866666666666667,32.2,21.2,0
Campina Grande,1993-11-30T00:00:00Z,26.366666666666667,30.2,21,0
Campina Grande,1993-12-01T00:00:00Z,26.400000000000002,31.3,20.9,0
Campina Grande,1993-12-02T00:00:00Z,25.733333333333334,29.9,20.6,0
Campina Grande,1993-12-03T00:00:00Z,25.866666666666667,30.8,19.9,0
Campina Grande,1993-12-04T00:00:00Z,25.6,29.8,20.3,0
Campina Grande,1993-12-05T00:00:00Z,24.2,29.4,20,1.5
Campina Grande,1993-12-06T00:00:00Z,25,29.7,20.8,0
Campina Grande,1993-12-07T00:00:00Z,25.833333333333332,30.8,20.7,0
Campina Grande,1993-12-08T00:00:00Z,25.3,31.3,20.4,0.1
Campina Grande,1993-12-09T00:00:00Z,26.066666666666666,31.2,20.5,0
Campina Grande,1993-12-10T00:00:00Z,26.633333333333333,31.5,21.5,0
Campina Grande,1993-12-11T00:00:00Z,26.1,31.2,21.2,0
Campina Grande,1993-12-12T00:00:00Z,26.6,31.9,21.2,0
Campina Grande,1993-12-13T00:00:00Z,26.133333333333333,30.6,21.2,0
Campina Grande,1993-12-14T00:00:00Z,25.366666666666667,30.9,20.2,0
Campina Grande,1993-12-15T00:00:00Z,26.466666666666665,31.7,20.7,0
Campina Grande,1993-12-16T00:00:00Z,26.266666666666666,31.6,20,0
Campina Grande,1993-12-17T00:00:00Z,26.166666666666668,31.7,20,0
